=== AUTOMOBILE ASSEMBLER ===
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
MCB Inv MGT,84.54,81.0,88.0,81.0,88.0,-0.06,"1,056"
Next Capital,7.82,7.99,8.2,6.89,6.9,,161
OLP FinancialXD,37.00,36.4,37.59,36.03,37.59,0.59,"72,521"
Pak Stock Exchange,21.23,21.75,22.25,19.52,21.85,0.71,"2,025,132"
Pervez Ahmed Co,0.98,0.98,1.08,0.96,1.04,0.02,"673,371"
PIA Holding Company,13.58,12.76,13.0,12.22,12.25,-1.35,"14,961,675"
PIA Holding CompanyB,"7,032.03",7735.23,7735.23,7735.23,7735.23,703.2,31
=== JUTE ===
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Crescent Jute,2.41,2.35,2.75,2.35,2.64,0.19,"232,734"
